"CODE","NAME"
"1300000000","National Capital Region (NCR)"
"1380100000","City of Caloocan"
"1380200000","City of Las Piñas"
"1380300000","City of Makati"
"1380400000","City of Malabon"
"1380500000","City of Mandaluyong"
"1380600000","City of Manila"
"1380700000","City of Marikina"
"1380800000","City of Muntinlupa"
"1380900000","City of Navotas"
"1381000000","City of Parañaque"
"1381100000","Pasay City"
"1381200000","City of Pasig"
"1381300000","Quezon City"
"1381400000","City of San Juan"
"1381500000","City of Taguig"
"1381600000","City of Valenzuela"
"1381701000","Pateros"

"1400000000","Cordillera Administrative Region (CAR)"
"1400100000","Abra"
"1408100000","Apayao"
"1401100000","Benguet"
"1402700000","Ifugao"
"1403200000","Kalinga"
"1404400000","Mountain Province"
"1430300000","City of Baguio"

"0100000000","Region I (Ilocos Region)"
"0102800000","Ilocos Norte"
"0102900000","Ilocos Sur"
"0103300000","La Union"
"0105500000","Pangasinan"

"0200000000","Region II (Cagayan Valley)"
"0200900000","Batanes"
"0201500000","Cagayan"
"0203100000","Isabela"
"0205000000","Nueva Vizcaya"
"0205700000","Quirino"

"0300000000","Region III (Central Luzon)"
"0307700000","Aurora"
"0300800000","Bataan"
"0301400000","Bulacan"
"0304900000","Nueva Ecija"
"0305400000","Pampanga"
"0306900000","Tarlac"
"0307100000","Zambales"
"0330100000","City of Angeles"
"0331400000","City of Olongapo"

"0400000000","Region IV-A (CALABARZON)"
"0401000000","Batangas"
"0402100000","Cavite"
"0403400000","Laguna"
"0405600000","Quezon"
"0405800000","Rizal"
"0431200000","City of Lucena"

"1700000000","MIMAROPA Region"
"1704000000","Marinduque"
"1705100000","Occidental Mindoro"
"1705200000","Oriental Mindoro"
"1705300000","Palawan"
"1705900000","Romblon"
"1731500000","City of Puerto Princesa"

"0500000000","Region V (Bicol Region)"
"0500500000","Albay"
"0501600000","Camarines Norte"
"0501700000","Camarines Sur"
"0502000000","Catanduanes"
"0504100000","Masbate"
"0506200000","Sorsogon"

"0600000000","Region VI (Western Visayas)"
"0600400000","Aklan"
"0600600000","Antique"
"0601900000","Capiz"
"0607900000","Guimaras"
"0603000000","Iloilo"
"0631000000","City of Iloilo"

"1800000000","Negros Island Region (NIR)"
"1804500000","Negros Occidental"
"1804600000","Negros Oriental"
"1806100000","Siquijor"
"1830200000","City of Bacolod"

"0700000000","Region VII (Central Visayas)"
"0701200000","Bohol"
"0702200000","Cebu"
"0730600000","City of Cebu"
"0731100000","City of Lapu-Lapu"
"0731300000","City of Mandaue"

"0800000000","Region VIII (Eastern Visayas)"
"0807800000","Biliran"
"0802600000","Eastern Samar"
"0803700000","Leyte"
"0804800000","Northern Samar"
"0806000000","Samar"
"0806400000","Southern Leyte"
"0831600000","City of Tacloban"

"0900000000","Region IX (Zamboanga Peninsula)"
"0907200000","Zamboanga del Norte"
"0907300000","Zamboanga del Sur"
"0908300000","Zamboanga Sibugay"
"0990101000 ","City of Isabela*"
"0931700000","City of Zamboanga"

"1000000000","Region X (Northern Mindanao)"
"1001300000","Bukidnon"
"1001800000","Camiguin"
"1003500000","Lanao del Norte"
"1004200000","Misamis Occidental"
"1004300000","Misamis Oriental"
"1030500000","City of Cagayan de Oro"
"1030900000","City of Iligan"

"1100000000","Region XI (Davao Region)"
"1108200000","Davao de Oro"
"1102300000","Davao del Norte"
"1102400000","Davao del Sur"
"1108600000","Davao Occidental"
"1102500000","Davao Oriental"
"1130700000","City of Davao"

"1200000000","Region XII (SOCCSKSARGEN)"
"1204700000","Cotabato"
"1208000000","Sarangani"
"1206300000","South Cotabato"
"1206500000","Sultan Kudarat"
"1230800000","City of General Santos"

"1600000000","Region XIII (Caraga)"
"1600200000","Agusan del Norte"
"1600300000","Agusan del Sur"
"1608500000","Dinagat Islands"
"1606700000","Surigao del Norte"
"1606800000","Surigao del Sur"
"1630400000","City of Butuan"

"1900000000","Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)"
"1900700000","Basilan"
"1903600000","Lanao del Sur"
"1908700000","Maguindanao del Norte"
"1908800000","Maguindanao del Sur"
"1906600000","Sulu"
"1907000000","Tawi-tawi"